(478176.5997869761,3638119.7567479564), (478176.60265818227, 3638119.7584407637), 0.22546982765197754
(478176.5970323632,3638119.7551072114), (478176.60265818227, 3638119.7584407637), 0.23257946968078613
(478176.59534308466,3638119.7540916004), (478176.60265818227, 3638119.7584407637), 0.2368943691253662
(478176.59287223517,3638119.75259891), (478176.60265818227, 3638119.7584407637), 0.24313044548034668
(478176.59020687855,3638119.7509777024), (478176.60265818227, 3638119.7584407637), 0.2498002052307129
(478176.5883953043,3638119.7498679752), (478176.60265818227, 3638119.7584407637), 0.2542836666107178
(478176.586312449,3638119.748584798), (478176.60265818227, 3638119.7584407637), 0.2593979835510254
(478176.58364372107,3638119.7469302383), (478176.60265818227, 3638119.7584407637), 0.26589035987854004
(478176.5813623974,3638119.7455047546), (478176.60265818227, 3638119.7584407637), 0.271378755569458
(478176.5796173275,3638119.7444068026), (478176.60265818227, 3638119.7584407637), 0.27553749084472656
(478176.57632393844,3638119.7423240705), (478176.60265818227, 3638119.7584407637), 0.28333377838134766
(478176.5743842696,3638119.741085934), (478176.60265818227, 3638119.7584407637), 0.28786587715148926
(478176.6057598893,3638119.7510433127), (478176.6057598893, 3638119.7510433127), 0.2971341609954834
(478176.60547842196,3638119.751714601), (478176.6057598893, 3638119.7510433127), 0.3043191432952881
(478176.60531167727,3638119.7521482), (478176.6057598893, 3638119.7510433127), 0.30888938903808594
(478176.6051461425,3638119.752604209), (478176.6057598893, 3638119.7510433127), 0.31365036964416504
(478176.60499019217,3638119.7530615567), (478176.6057598893, 3638119.7510433127), 0.31837916374206543
(478176.60477527464,3638119.7537233387), (478176.6057598893, 3638119.7510433127), 0.3251357078552246
(478176.60453763284,3638119.7545095524), (478176.6057598893, 3638119.7510433127), 0.333021879196167
(478176.6044098567,3638119.754970849), (478176.6057598893, 3638119.7510433127), 0.3375537395477295
(478176.604295944,3638119.7554154), (478176.6057598893, 3638119.7510433127), 0.34188008308410645
(478176.6041562136,3638119.756005462), (478176.6057598893, 3638119.7510433127), 0.34757113456726074
