(0.37412923079682514,3.195683808531612), (0.37412923079682514, 3.195683808531612)
(0.2325105623133257,1.9860256246611905), (0.37412923079682514, 3.195683808531612)
(0.3756719146040268,3.1882898043841124), (0.3756719146040268, 3.1882898043841124)
(0.3756555778090842,3.180899247061461), (0.3756555778090842, 3.180899247061461)
(0.37719417741755024,3.171657603699714), (0.37719417741755024, 3.171657603699714)
(0.3787368612247519,3.164263600949198), (0.3787368612247519, 3.164263600949198)
(0.378173533881256,3.166963599424456), (0.3787368612247519, 3.164263600949198)
(0.378716440172866,3.1550254044122994), (0.378716440172866, 3.1550254044122994)
(0.380255039781332,3.145783760584891), (0.380255039781332, 3.145783760584891)
(0.3802387029863894,3.1383932027965784), (0.3802387029863894, 3.1383932027965784)
(0.38024801695869015,3.142606725141039), (0.3802387029863894, 3.1383932027965784)
(0.3817813891801052,3.130999199580401), (0.3817813891801052, 3.130999199580401)
(0.38176505238516256,3.1236086417920887), (0.38176505238516256, 3.1236086417920887)
(0.38330773380585015,3.1162146381102502), (0.38330773380585015, 3.1162146381102502)
(0.3832954812096432,3.110671719070524), (0.3832954812096432, 3.110671719070524)
(0.38330338906956135,3.114249134547509), (0.3832954812096432, 3.110671719070524)
(0.38328322855522856,3.1051288014277816), (0.38328322855522856, 3.1051288014277816)
(0.3848259124206379,3.097734797745943), (0.3848259124206379, 3.097734797745943)
(0.38481365982443094,3.0921918796375394), (0.38481365982443094, 3.0921918796375394)
(0.3848014071700163,3.086648961994797), (0.3848014071700163, 3.086648961994797)
(0.384793238772545,3.082953682169318), (0.384793238772545, 3.082953682169318)
(0.3894539662869647,3.075552787166089), (0.3894539662869647, 3.075552787166089)
(0.3790308949509028,3.0921038634370577), (0.3894539662869647, 3.075552787166089)
(0.3910293213557452,3.0829398976638913), (0.3910293213557452, 3.0829398976638913)
(0.40815404331078753,3.071816152893007), (0.40815404331078753, 3.071816152893007)
(0.4144023808767088,3.0773452860303223), (0.4144023808767088, 3.0773452860303223)
(0.42222198931267485,3.0884138927794993), (0.42222198931267485, 3.0884138927794993)
(0.43004159769043326,3.0994824962690473), (0.43004159769043326, 3.0994824962690473)
(0.4278568197615697,3.096389957686669), (0.43004159769043326, 3.0994824962690473)
